id,region,category,parameter,mode,powertrain,year,unit,value
76,Canada,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3900
77,Canada,Historical,EV charging points,EV,Publicly available fast,2017,charging points,670
78,Canada,Historical,EV charging points,EV,Publicly available slow,2017,charging points,5200
79,Canada,Historical,EV charging points,EV,Publicly available fast,2018,charging points,840
80,Canada,Historical,EV charging points,EV,Publicly available slow,2018,charging points,7100
81,Canada,Historical,EV charging points,EV,Publicly available fast,2019,charging points,980
82,Canada,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8000
83,Canada,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2300
84,Canada,Historical,EV charging points,EV,Publicly available slow,2020,charging points,11000
85,Canada,Historical,EV charging points,EV,Publicly available fast,2021,charging points,3100
86,Canada,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
87,Canada,Historical,EV charging points,EV,Publicly available fast,2022,charging points,3900
88,Canada,Historical,EV charging points,EV,Publicly available slow,2022,charging points,17000
89,Chile,Historical,EV charging points,EV,Publicly available fast,2011,charging points,1
90,Chile,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1
91,Chile,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4
92,Chile,Historical,EV charging points,EV,Publicly available slow,2012,charging points,6
93,Chile,Historical,EV charging points,EV,Publicly available fast,2013,charging points,5
94,Chile,Historical,EV charging points,EV,Publicly available slow,2013,charging points,8
95,Chile,Historical,EV charging points,EV,Publicly available fast,2014,charging points,5
96,Chile,Historical,EV charging points,EV,Publicly available slow,2014,charging points,13
97,Chile,Historical,EV charging points,EV,Publicly available fast,2015,charging points,5
98,Chile,Historical,EV charging points,EV,Publicly available slow,2015,charging points,22
99,Chile,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5
100,Chile,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22
101,Chile,Historical,EV charging points,EV,Publicly available fast,2017,charging points,6
102,Chile,Historical,EV charging points,EV,Publicly available slow,2017,charging points,35
103,Chile,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8
104,Chile,Historical,EV charging points,EV,Publicly available slow,2018,charging points,61
105,Chile,Historical,EV charging points,EV,Publicly available fast,2019,charging points,42
106,Chile,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130
107,Chile,Historical,EV charging points,EV,Publicly available fast,2020,charging points,99
108,Chile,Historical,EV charging points,EV,Publicly available slow,2020,charging points,240
109,Chile,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
110,Chile,Historical,EV charging points,EV,Publicly available slow,2021,charging points,360
111,Chile,Historical,EV charging points,EV,Publicly available fast,2022,charging points,220
112,Chile,Historical,EV charging points,EV,Publicly available slow,2022,charging points,440
113,China,Historical,EV charging points,EV,Publicly available fast,2014,charging points,9000
114,China,Historical,EV charging points,EV,Publicly available slow,2014,charging points,21000
115,China,Historical,EV charging points,EV,Publicly available fast,2015,charging points,12000
116,China,Historical,EV charging points,EV,Publicly available slow,2015,charging points,47000
117,China,Historical,EV charging points,EV,Publicly available fast,2016,charging points,55000
118,China,Historical,EV charging points,EV,Publicly available slow,2016,charging points,86000
119,China,Historical,EV charging points,EV,Publicly available fast,2017,charging points,83000
120,China,Historical,EV charging points,EV,Publicly available slow,2017,charging points,130000
121,China,Historical,EV charging points,EV,Publicly available fast,2018,charging points,110000
122,China,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160000
123,China,Historical,EV charging points,EV,Publicly available fast,2019,charging points,210000
124,China,Historical,EV charging points,EV,Publicly available slow,2019,charging points,300000
125,China,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310000
126,China,Historical,EV charging points,EV,Publicly available slow,2020,charging points,500000
127,China,Historical,EV charging points,EV,Publicly available fast,2021,charging points,470000
128,China,Historical,EV charging points,EV,Publicly available slow,2021,charging points,680000
129,China,Historical,EV charging points,EV,Publicly available fast,2022,charging points,760000
130,China,Historical,EV charging points,EV,Publicly available slow,2022,charging points,1000000
131,Denmark,Historical,EV charging points,EV,Publicly available fast,2012,charging points,3
132,Denmark,Historical,EV charging points,EV,Publicly available slow,2012,charging points,900
133,Denmark,Historical,EV charging points,EV,Publicly available fast,2013,charging points,56
134,Denmark,Historical,EV charging points,EV,Publicly available slow,2013,charging points,990
135,Denmark,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
136,Denmark,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1600
137,Denmark,Historical,EV charging points,EV,Publicly available fast,2015,charging points,270
138,Denmark,Historical,EV charging points,EV,Publicly available slow,2015,charging points,2100
139,Denmark,Historical,EV charging points,EV,Publicly available fast,2016,charging points,310
140,Denmark,Historical,EV charging points,EV,Publicly available slow,2016,charging points,4200
141,Denmark,Historical,EV charging points,EV,Publicly available fast,2017,charging points,370
142,Denmark,Historical,EV charging points,EV,Publicly available slow,2017,charging points,4200
143,Denmark,Historical,EV charging points,EV,Publicly available fast,2018,charging points,390
144,Denmark,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4300
145,Denmark,Historical,EV charging points,EV,Publicly available fast,2019,charging points,450
146,Denmark,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4500
147,Denmark,Historical,EV charging points,EV,Publicly available fast,2020,charging points,560
148,Denmark,Historical,EV charging points,EV,Publicly available slow,2020,charging points,5400
149,Denmark,Historical,EV charging points,EV,Publicly available fast,2021,charging points,240
150,Denmark,Historical,EV charging points,EV,Publicly available slow,2021,charging points,7000
151,Denmark,Historical,EV charging points,EV,Publicly available fast,2022,charging points,1200
152,Denmark,Historical,EV charging points,EV,Publicly available slow,2022,charging points,8300
153,Finland,Historical,EV charging points,EV,Publicly available fast,2013,charging points,17
154,Finland,Historical,EV charging points,EV,Publicly available slow,2013,charging points,250
155,Finland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,26
156,Finland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,360
157,Finland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,130
158,Finland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,710
159,Finland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
160,Finland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,710
161,Finland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,140
162,Finland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,710
163,Finland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,220
164,Finland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,710
165,Finland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,340
166,Finland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1800
167,Finland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,410
168,Finland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,3900
169,Finland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,770
170,Finland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5800
171,Finland,Historical,EV charging points,EV,Publicly available fast,2022,charging points,1300
172,Finland,Historical,EV charging points,EV,Publicly available slow,2022,charging points,7700
173,France,Historical,EV charging points,EV,Publicly available fast,2012,charging points,9
174,France,Historical,EV charging points,EV,Publicly available slow,2012,charging points,800
175,France,Historical,EV charging points,EV,Publicly available fast,2013,charging points,100
176,France,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1700
177,France,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
178,France,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1700
179,France,Historical,EV charging points,EV,Publicly available fast,2015,charging points,580
180,France,Historical,EV charging points,EV,Publicly available slow,2015,charging points,9900
181,France,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1000
182,France,Historical,EV charging points,EV,Publicly available slow,2016,charging points,19000
183,France,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1000
184,France,Historical,EV charging points,EV,Publicly available slow,2017,charging points,20000
